transaction_date,ticker,type,amount,state,industry,party,name
4/3/2023,IDXX,Purchase,"$15,000 ",AL,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Republican,Tommy Tuberville
4/3/2023,GFI,Sale (Full),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/3/2023,FLT,Sale (Full),"$15,000 ",AL,EDP Services,Republican,Tommy Tuberville
4/3/2023,META,Sale (Full),"$15,000 ",AL,Internet and Information Services,Republican,Tommy Tuberville
4/3/2023,ETSY,Sale (Full),"$15,000 ",AL,Business Services,Republican,Tommy Tuberville
4/3/2023,EW,Sale (Full),"$15,000 ",AL,Industrial Specialties,Republican,Tommy Tuberville
4/3/2023,DQ,Sale (Full),"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,CROX,Sale (Full),"$15,000 ",AL,Shoe Manufacturing,Republican,Tommy Tuberville
4/3/2023,CSCO,Sale (Full),"$50,000 ",AL,Computer Communications Equipment,Republican,Tommy Tuberville
4/3/2023,ANET,Sale (Full),"$50,000 ",AL,,Republican,Tommy Tuberville
4/3/2023,AMT,Sale (Full),"$15,000 ",AL,Real Estate Investment Trusts,Republican,Tommy Tuberville
4/3/2023,ALLE,Sale (Full),"$15,000 ",AL,Diversified Commercial Services,Republican,Tommy Tuberville
4/3/2023,ABBV,Sale (Partial),"$15,000 ",AL,Major Pharmaceuticals,Republican,Tommy Tuberville
4/3/2023,GSK,Purchase,"$15,000 ",AL,Major Pharmaceuticals,Republican,Tommy Tuberville
4/3/2023,GNTX,Purchase,"$15,000 ",AL,Auto Parts:O.E.M.,Republican,Tommy Tuberville
4/3/2023,GRMN,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
4/3/2023,DIOD,Purchase,"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,CBSH,Purchase,"$15,000 ",AL,Major Banks,Republican,Tommy Tuberville
4/3/2023,CRUS,Purchase,"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,AVGO,Purchase,"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,ADSK,Purchase,"$15,000 ",AL,Computer Software: Prepackaged Software,Republican,Tommy Tuberville
4/3/2023,APH,Purchase,"$15,000 ",AL,Electrical Products,Republican,Tommy Tuberville
4/3/2022,A,Purchase,"$15,000 ",AL,Biotechnology: Laboratory Analytical Instruments,Republican,Tommy Tuberville
5/10/2023,N/A,N/A,,,,,Gary C. Peters
4/26/2023,NVS,Purchase,"$15,000 ",DE,Major Pharmaceuticals,Democrat,Thomas R. Carper
4/26/2023,TMO,Sale (Partial),"$15,000 ",DE,Industrial Machinery/Components,Democrat,Thomas R. Carper
4/17/2023,FIMKX,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,FCPIX,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,JHMM,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,SBIO,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,LGI,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,BRKR,Sale (Full),"$15,000 ",DE,Biotechnology: Laboratory Analytical Instruments,Democrat,Thomas R. Carper
4/17/2023,AVNT,Sale (Full),"$15,000 ",DE,Major Chemicals,Democrat,Thomas R. Carper
4/17/2023,FDN,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,RTH,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,SNDR,Sale (Full),"$15,000 ",DE,Trucking Freight/Courier Services,Democrat,Thomas R. Carper
4/17/2023,DGRS,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
4/17/2023,MRVL,Sale (Full),"$15,000 ",DE,Semiconductors,Democrat,Thomas R. Carper
4/17/2023,ALGM,Sale (Full),"$15,000 ",DE,Semiconductors,Democrat,Thomas R. Carper
4/17/2023,DIOD,Sale (Full),"$15,000 ",DE,Semiconductors,Democrat,Thomas R. Carper
4/17/2023,VSH,Sale (Full),"$15,000 ",DE,Industrial Machinery/Components,Democrat,Thomas R. Carper
4/13/2023,UAA,Sale (Full),"$15,000 ",DE,Apparel,Democrat,Thomas R. Carper
4/13/2023,UA,Sale (Full),"$15,000 ",DE,Apparel,Democrat,Thomas R. Carper
4/13/2023,CSCO,Sale (Full),"$50,000 ",DE,Computer Communications Equipment,Democrat,Thomas R. Carper
4/11/2023,ITW,Sale (Full),"$50,000 ",IL,Industrial Machinery/Components,Democrat,Tammy Duckworth
4/20/2023,N/A,N/A,,,,,Richard Blumenthal
4/5/2023,CSII,Sale (Full),"$100,000 ",MN,Medical/Dental Instruments,Democrat,Tina Smith
4/5/2023,MDT,Sale (Full),"$250,000 ",MN,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Democrat,Tina Smith
4/5/2023,CSII,Sale (Full),"$100,000 ",MN,Medical/Dental Instruments,Democrat,Tina Smith
3/14/2023,TFC,Purchase,"$15,000 ",MI,Major Banks,Democrat,Gary C. Peters
3/14/2023,O,Purchase,"$50,000 ",MI,Real Estate Investment Trusts,Democrat,Gary C. Peters
3/13/2023,NUE,Sale (Full),"$100,000 ",MI,Steel/Iron Ore,Democrat,Gary C. Peters
3/21/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
3/21/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
3/21/2023,TSM,Purchase,"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,X,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/21/2023,CLF,Purchase,"$100,000 ",AL,Precious Metals,Republican,Tommy Tuberville
3/20/2023,X,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
3/10/2023,KMB,Purchase,"$50,000 ",AL,Containers/Packaging,Republican,Tommy Tuberville
3/6/2023,BMO,Sale (Full),"$15,000 ",AL,,Republican,Tommy Tuberville
3/3/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
3/7/2023,AAPL,Sale (Partial),"$50,000 ",DE,Computer Manufacturing,Democrat,Thomas R. Carper
1/19/2022,TSM,Sale (Partial),"$15,000 ",DE,Semiconductors,Democrat,Thomas R. Carper
3/3/2023,WFC,Purchase,"$15,000 ",KY,Major Banks,Republican,Mitch Mcconnell
3/23/2023,N/A,N/A,,,,,Rick Scott
3/22/2023,N/A,N/A,,,,,Richard Blumenthal
2/10/2023,SCHW,Sale (Partial),"$15,000 ",AK,Investment Bankers/Brokers/Service,Republican,Dan Sullivan
2/21/2023,CHD,Purchase,"$15,000 ",AK,Package Goods/Cosmetics,Republican,Dan Sullivan
2/10/2023,CHD,Purchase,"$15,000 ",AK,Package Goods/Cosmetics,Republican,Dan Sullivan
2/10/2023,GOOG,Purchase,"$15,000 ",AK,"Computer Software: Programming, Data Processing",Republican,Dan Sullivan
3/14/2023,N/A,N/A,,,,,Tommy Tuberville
3/13/2023,N/A,N/A,,,,,Shelley Moore Capito
3/6/2023,N/A,N/A,,,,,John Boozman
2/21/2023,QCOM,Sale (Partial),"$15,000 ",DE,Radio And Television Broadcasting And Communications Equipment,Democrat,Thomas R. Carper
2/21/2023,SBUX,Sale (Full),"$15,000 ",DE,Restaurants,Democrat,Thomas R. Carper
2/21/2023,VFH,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/21/2023,SQM,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/21/2023,WM,Purchase,"$15,000 ",DE,Environmental Services,Democrat,Thomas R. Carper
2/21/2023,TSM,Sale (Partial),"$15,000 ",DE,Semiconductors,Democrat,Thomas R. Carper
2/21/2023,AGX,Purchase,"$15,000 ",DE,Oilfield Services/Equipment,Democrat,Thomas R. Carper
2/21/2023,KBE,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/21/2023,HASI,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Democrat,Thomas R. Carper
2/21/2023,MOS,Purchase,"$15,000 ",DE,Agricultural Chemicals,Democrat,Thomas R. Carper
2/21/2023,FPI,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/21/2023,RTH,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/21/2023,BSM,Purchase,"$15,000 ",DE,Oil & Gas Production,Democrat,Thomas R. Carper
2/21/2023,RTX,Purchase,"$15,000 ",DE,Aerospace,Democrat,Thomas R. Carper
2/21/2023,IRM,Sale (Partial),"$15,000 ",DE,Real Estate Investment Trusts,Democrat,Thomas R. Carper
2/21/2023,APO,Sale (Partial),"$15,000 ",DE,Investment Managers,Democrat,Thomas R. Carper
2/15/2023,ABYIX,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,MBXIX,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,LUBYX,Sale (Full),"$50,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,JHMM,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,VHT,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,SBIO,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,IVV,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,IJR,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,IWD,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,CDL,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,SPGP,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,GNR,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,LDP,Sale (Full),"$15,000 ",DE,Finance Companies,Democrat,Thomas R. Carper
2/15/2023,QTEC,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,FDN,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,RTH,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,MOO,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,IGHG,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,GBIL,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,FDRR,Sale (Partial),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,FQAL,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/15/2023,NXTG,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
2/24/2023,N/A,N/A,,,,,Rick Scott
2/16/2023,N/A,N/A,,,,,Gary C. Peters
1/23/2023,GOLD,Purchase,"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/18/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/18/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/18/2023,CLF,Purchase,"$250,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/13/2023,UAA,Purchase,"$50,000 ",AL,Apparel,Republican,Tommy Tuberville
1/12/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/11/2023,V,Sale (Partial),"$15,000 ",AL,Business Services,Republican,Tommy Tuberville
1/11/2023,KO,Sale (Partial),"$15,000 ",AL,Beverages (Production/Distribution),Republican,Tommy Tuberville
1/11/2023,AAPL,Sale (Partial),"$15,000 ",AL,Computer Manufacturing,Republican,Tommy Tuberville
1/11/2023,TXN,Sale (Partial),"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
1/5/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/5/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/5/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/5/2023,X,Purchase,"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,X,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,X,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,X,Sale (Partial),"$15,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,X,Sale (Partial),"$50,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,X,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
1/5/2023,CLF,Sale (Partial),"$50,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/10/2023,ULTA,Sale (Partial),"$15,000 ",AK,,Republican,Dan Sullivan
1/10/2023,PXD,Sale (Partial),"$15,000 ",AK,Oil & Gas Production,Republican,Dan Sullivan
1/10/2023,JPM,Sale (Partial),"$15,000 ",AK,Major Banks,Republican,Dan Sullivan
1/10/2023,CVS,Sale (Partial),"$15,000 ",AK,Medical/Nursing Services,Republican,Dan Sullivan
1/10/2023,BMY,Sale (Partial),"$15,000 ",AK,Major Pharmaceuticals,Republican,Dan Sullivan
1/10/2023,BKNG,Sale (Partial),"$15,000 ",AK,Transportation Services,Republican,Dan Sullivan
1/10/2023,ZTS,Purchase,"$15,000 ",AK,Major Pharmaceuticals,Republican,Dan Sullivan
1/10/2023,AMZN,Purchase,"$15,000 ",AK,Catalog/Specialty Distribution,Republican,Dan Sullivan
1/10/2023,ALGN,Purchase,"$15,000 ",AK,Industrial Specialties,Republican,Dan Sullivan
2/10/2023,N/A,N/A,,,,,Christopher A. Coons
1/18/2023,RIO,Sale (Full),"$15,000 ",DE,Precious Metals,Democrat,Thomas R. Carper
1/18/2023,FPI,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
1/12/2023,AQN,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
1/4/2023,MAXR,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
1/4/2023,MGM,Purchase,"$15,000 ",DE,Hotels/Resorts,Democrat,Thomas R. Carper
1/11/2023,AMT,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Democrat,Thomas R. Carper
1/11/2023,SRVR,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,MOO,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,ATKR,Purchase,"$15,000 ",DE,Electrical Products,Democrat,Thomas R. Carper
1/11/2023,HOLX,Sale (Full),"$15,000 ",DE,Medical Electronics,Democrat,Thomas R. Carper
1/11/2023,BHP,Purchase,"$15,000 ",DE,Precious Metals,Democrat,Thomas R. Carper
1/11/2023,RMD,Sale (Full),"$15,000 ",DE,Medical/Dental Instruments,Democrat,Thomas R. Carper
1/11/2023,CVS,Sale (Partial),"$15,000 ",DE,Medical/Nursing Services,Democrat,Thomas R. Carper
1/11/2023,TU,Sale (Full),"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,DLR,Purchase,"$15,000 ",DE,Real Estate Investment Trusts,Democrat,Thomas R. Carper
1/11/2023,AXS,Sale (Full),"$15,000 ",DE,Property-Casualty Insurers,Democrat,Thomas R. Carper
1/11/2023,CME,Purchase,"$15,000 ",DE,Investment Bankers/Brokers/Service,Democrat,Thomas R. Carper
1/11/2023,SAND,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,BSM,Purchase,"$15,000 ",DE,Oil & Gas Production,Democrat,Thomas R. Carper
1/11/2023,URA,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,FLNG,Purchase,"$15,000 ",DE,,Democrat,Thomas R. Carper
1/11/2023,EQNR,Purchase,"$15,000 ",DE,Integrated oil Companies,Democrat,Thomas R. Carper
1/11/2023,MCD,Sale (Full),"$15,000 ",DE,Restaurants,Democrat,Thomas R. Carper
1/19/2023,N/A,N/A,,,,,Rick Scott
12/28/2022,RNWK,Sale (Full),"$50,000 ",WA,Computer Software: Prepackaged Software,Democrat,Maria Cantwell
12/23/2022,GOLD,Purchase,"$50,000 ",AL,Precious Metals,Republican,Tommy Tuberville
12/19/2022,NU,Purchase,"$15,000 ",AL,Finance: Consumer Services,Republican,Tommy Tuberville
12/15/2022,DIS,Sale (Partial),"$50,000 ",AL,Services-Misc. Amusement & Recreation,Republican,Tommy Tuberville
12/9/2022,PG,Sale (Full),"$15,000 ",AL,Package Goods/Cosmetics,Republican,Tommy Tuberville
12/9/2022,KMB,Sale (Full),"$15,000 ",AL,Containers/Packaging,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Full),"$250,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PG,Sale (Full),"$15,000 ",AL,Package Goods/Cosmetics,Republican,Tommy Tuberville
12/9/2022,CLX,Sale (Full),"$15,000 ",AL,Specialty Chemicals,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$15,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$15,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$15,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$50,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$100,000 ",AL,Business Services,Republican,Tommy Tuberville
12/9/2022,PYPL,Sale (Partial),"$250,000 ",AL,Business Services,Republican,Tommy Tuberville
12/8/2022,PYPL,Purchase,"$50,000 ",AL,Business Services,Republican,Tommy Tuberville
12/6/2022,GOLD,Purchase,"$100,000 ",AL,Precious Metals,Republican,Tommy Tuberville
12/5/2022,PYPL,Purchase,"$500,000 ",AL,Business Services,Republican,Tommy Tuberville
12/2/2022,QCOM,Sale (Full),"$50,000 ",AL,Radio And Television Broadcasting And Communications Equipment,Republican,Tommy Tuberville
12/2/2022,QCOM,Sale (Partial),"$100,000 ",AL,Radio And Television Broadcasting And Communications Equipment,Republican,Tommy Tuberville
12/1/2022,QCOM,Purchase,"$250,000 ",AL,Radio And Television Broadcasting And Communications Equipment,Republican,Tommy Tuberville
12/1/2022,GOLD,Purchase,"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
1/3/2023,GE,Exchange,"$15,000 ",NV,Consumer Electronics/Appliances,Democrat,Jacky Rosen
1/3/2023,GE,Exchange,"$15,000 ",NV,Consumer Electronics/Appliances,Democrat,Jacky Rosen
1/3/2023,GE,Exchange,"$15,000 ",NV,Consumer Electronics/Appliances,Democrat,Jacky Rosen
1/3/2023,GE,Exchange,"$15,000 ",NV,Consumer Electronics/Appliances,Democrat,Jacky Rosen
1/5/2023,N/A,N/A,,,,,Thomas R. Carper
11/29/2022,C,Sale (Full),"$15,000 ",RI,Major Banks,Democrat,Sheldon Whitehouse
11/29/2022,C,Sale (Full),"$15,000 ",RI,Major Banks,Democrat,Sheldon Whitehouse
12/23/2022,N/A,N/A,,,,,Rick Scott
12/14/2022,FWONK,Purchase,"$100,000 ",CO,Movies/Entertainment,Democrat,John W. Hickenlooper
12/5/2022,LSXMK,Sale (Partial),"$500,000 ",CO,Broadcasting,Democrat,John W. Hickenlooper
12/5/2022,LSXMK,Purchase,"$250,000 ",CO,Broadcasting,Democrat,John W. Hickenlooper
