owner,ticker,asset_type,type,amount,state,party,industry,senator
Joint,GD,Stock,Sale (Full),"$50,000 ",AL,Republican,Marine Transportation,Tommy Tuberville
Spouse,SNOW,Stock,Purchase,"$15,000 ",DE,Democrat,Computer Software: Prepackaged Software,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Joint,PG,Stock,Purchase,"$15,000 ",AL,Republican,Package Goods/Cosmetics,Tommy Tuberville
Joint,NFLX,Stock,Purchase,"$15,000 ",AL,Republican,Consumer Electronics/Video Chains,Tommy Tuberville
Joint,MPWR,Stock,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,KEYS,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,KLAC,Stock,Purchase,"$15,000 ",AL,Republican,Electronic Components,Tommy Tuberville
Joint,JNJ,Stock,Purchase,"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,INTU,Stock,Purchase,"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,GNRC,Stock,Purchase,"$15,000 ",AL,Republican,Metal Fabrications,Tommy Tuberville
Joint,EL,Stock,Purchase,"$15,000 ",AL,Republican,Package Goods/Cosmetics,Tommy Tuberville
Joint,EXP,Stock,Purchase,"$15,000 ",AL,Republican,Building Materials,Tommy Tuberville
Joint,DEO,Stock,Purchase,"$15,000 ",AL,Republican,Beverages (Production/Distribution),Tommy Tuberville
Joint,CTAS,Stock,Purchase,"$15,000 ",AL,Republican,Apparel,Tommy Tuberville
Joint,CABO,Stock,Purchase,"$15,000 ",AL,Republican,Telecommunications Equipment,Tommy Tuberville
Joint,BKE,Stock,Purchase,"$15,000 ",AL,Republican,Clothing/Shoe/Accessory Stores,Tommy Tuberville
Joint,ALLE,Stock,Purchase,"$15,000 ",AL,Republican,Diversified Commercial Services,Tommy Tuberville
Joint,APD,Stock,Purchase,"$15,000 ",AL,Republican,Major Chemicals,Tommy Tuberville
Joint,WAL,Stock,Sale (Full),"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,MMM,Stock,Sale (Full),"$15,000 ",AL,Republican,Medical/Dental Instruments,Tommy Tuberville
Joint,DECK,Stock,Sale (Full),"$15,000 ",AL,Republican,Shoe Manufacturing,Tommy Tuberville
Joint,CLX,Stock,Sale (Full),"$15,000 ",AL,Republican,Specialty Chemicals,Tommy Tuberville
Joint,CHE,Stock,Sale (Full),"$15,000 ",AL,Republican,Medical/Nursing Services,Tommy Tuberville
Joint,BHP,Stock,Sale (Full),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,ATHM,Stock,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,AME,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,SSYS,Stock,Purchase,"$100,000 ",AL,Republican,Computer peripheral equipment,Tommy Tuberville
Joint,X,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,BABA,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,BABA,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,BABA,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,BABA,Stock Option,Purchase,"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,ECOM,Stock Option,Purchase,"$15,000 ",AL,Republican,,Tommy Tuberville
Self,BTC,Cryptocurrency,Purchase,"$100,000 ",WY,Republican,,Cynthia M. Lummis
Self,J,Stock,Purchase,"$15,000 ",WY,Republican,Military/Government/Technical,Cynthia M. Lummis
Spouse,GOOG,Stock,Sale (Partial),"$15,000 ",DE,Democrat,"Computer Software: Programming, Data Processing",Thomas R. Carper
Spouse,AAPL,Stock,Sale (Partial),"$50,000 ",DE,Democrat,Computer Manufacturing,Thomas R. Carper
Spouse,NRDY,Stock,Purchase,"$15,000 ",MO,Republican,Computer Software: Prepackaged Software,Roy Blunt
Spouse,AAPL,Stock,Purchase,"$15,000 ",WV,Republican,Computer Manufacturing,Shelley Moore Capito
Spouse,MSFT,Stock,Sale (Partial),"$15,000 ",WV,Republican,Computer Software: Prepackaged Software,Shelley Moore Capito
Spouse,AAPL,Stock,Sale (Partial),"$15,000 ",WV,Republican,Computer Manufacturing,Shelley Moore Capito
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Mitch Mcconnell
Spouse,BABA,Stock,Sale (Full),"$15,000 ",RI,Democrat,Business Services,Sheldon Whitehouse
Joint,MCHP,Stock,Sale (Full),"$50,000 ",RI,Democrat,Semiconductors,Sheldon Whitehouse
Joint,T,Stock,Sale (Full),"$50,000 ",RI,Democrat,Telecommunications Equipment,Sheldon Whitehouse
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Patrick J. Toomey
Joint,CALX,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,ECOM,Stock Option,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,ECOM,Stock Option,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,CALX,Stock Option,Purchase,"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,SSYS,Stock,Purchase,"$15,000 ",AL,Republican,Computer peripheral equipment,Tommy Tuberville
Joint,SSBK,Stock,Purchase,"$100,000 ",AL,Republican,Commercial Banks,Tommy Tuberville
Joint,INTC,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,OXY,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
Joint,OXY,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Mark R. Warner
Spouse,LMRK,Stock,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,WW,Stock,Purchase,"$15,000 ",DE,Democrat,Other Consumer Services,Thomas R. Carper
Spouse,ARE,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
Spouse,COR,Stock,Purchase,"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
